,,,,,,,Change (Years),,,,Change (Years),,,
year,sex,Remaining Lifespan at 60,Remaining Healthspan at 60 ,unhealthy_years,,,Female,2000-2010,2010-2019,Percentages,Male,2000-2010,2010-2019,Percentages
2000,Female,22.65,16.5,6.15,,,LE,1.5,0.26,0.625,LE,1.86,0.33,0.626262626
2001,Female,22.76,16.56,6.2,,,HALE,0.9,-0.09,-0.346153846,HALE,1.11,0.01,#REF!
2002,Female,22.82,16.59,6.23,,,,,,,,,,
2003,Female,22.92,16.66,6.26,,,,,,,,,,
2004,Female,23.25,16.88,6.37,,,,,,,,,,
2005,Female,23.27,16.89,6.38,,,,,,,,,,
2006,Female,23.57,17.08,6.49,,,,,,,,,,
2007,Female,23.76,17.19,6.57,,,,,,,,,,
2008,Female,23.76,17.18,6.58,,,,,,,,,,
2009,Female,24.12,17.39,6.73,,,,,,,,,,
2010,Female,24.15,17.4,6.75,,,,,,,,,,
2011,Female,24.18,17.4,6.78,,,,,,,,,,
2012,Female,24.28,17.44,6.84,,,,,,,,,,
2013,Female,24.26,17.41,6.85,,,,,,,,,,
2014,Female,24.34,17.44,6.9,,,,,,,,,,
2015,Female,24.22,17.34,6.88,,,,,,,,,,
2016,Female,24.32,17.37,6.95,,,,,,,,,,
2017,Female,24.25,17.27,6.98,,,,,,,,,,
2018,Female,24.31,17.27,7.04,,,,,,,,,,
2019,Female,24.41,17.31,7.1,,,,,,,,,,
2000,Male,19.8,14.7,5.1,,,,,,,,,,
2001,Male,19.99,14.81,5.18,,,,,,,,,,
2002,Male,20.09,14.86,5.23,,,,,,,,,,
2003,Male,20.28,14.98,5.3,,,,,,,,,,
2004,Male,20.66,15.23,5.43,,,,,,,,,,
2005,Male,20.73,15.26,5.47,,,,,,,,,,
2006,Male,21.05,15.47,5.58,,,,,,,,,,
2007,Male,21.26,15.59,5.67,,,,,,,,,,
2008,Male,21.3,15.61,5.69,,,,,,,,,,
2009,Male,21.62,15.8,5.82,,,,,,,,,,
2010,Male,21.66,15.81,5.85,,,,,,,,,,
2011,Male,21.75,15.86,5.89,,,,,,,,,,
2012,Male,21.86,15.9,5.96,,,,,,,,,,
2013,Male,21.83,15.86,5.97,,,,,,,,,,
2014,Male,21.91,15.88,6.03,,,,,,,,,,
2015,Male,21.83,15.81,6.02,,,,,,,,,,
2016,Male,21.93,15.85,6.08,,,,,,,,,,
2017,Male,21.88,15.79,6.09,,,,,,,,,,
2018,Male,21.9,15.78,6.12,,,,,,,,,,
2019,Male,21.99,15.82,6.17,,,,,,,,,,
